City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,62.76,77,0,9.22,clear sky
1,Vardo,NO,70.3705,31.1107,48.18,81,100,21.85,overcast clouds
2,Vaini,TO,-21.2,-175.2,66.36,94,20,4.61,few clouds
3,Rikitea,PF,-23.1203,-134.9692,70.84,64,100,17.38,overcast clouds
4,Avarua,CK,-21.2078,-159.775,71.65,83,99,3.44,overcast clouds
5,Provideniya,RU,64.3833,-173.3,43.79,90,98,10.67,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,35.96,97,100,14.07,light rain
7,Dikson,RU,73.5069,80.5464,41.0,79,30,15.32,scattered clouds
8,Bagdarin,RU,54.4333,113.6,39.42,98,100,7.34,overcast clouds
9,Kabwe,ZM,-14.4469,28.4464,84.2,19,0,8.75,clear sky
10,Izyum,UA,49.2088,37.2485,54.07,62,96,11.95,overcast clouds
11,Castelo Branco,PT,39.8222,-7.4909,80.01,39,0,9.73,clear sky
12,Mataura,NZ,-46.1927,168.8643,41.49,98,100,8.43,overcast clouds
13,Kipushi,CD,-11.7667,27.2333,85.55,20,7,2.89,clear sky
14,Hilo,US,19.7297,-155.09,76.28,92,75,5.75,broken clouds
15,Bairiki,KI,1.3292,172.9752,80.6,83,20,5.75,few clouds
16,Hermanus,ZA,-34.4187,19.2345,54.81,82,94,27.27,moderate rain
17,Cecina,IT,43.3128,10.524,86.29,58,27,5.32,scattered clouds
18,Yellowknife,CA,62.456,-114.3525,59.56,77,75,9.22,broken clouds
19,Sungairaya,ID,0.7,108.9,75.79,85,100,9.84,overcast clouds
20,Tiksi,RU,71.6872,128.8694,39.65,74,100,22.39,overcast clouds
21,Ojhar,IN,20.1,73.9333,74.98,93,100,6.46,light rain
22,Keti Bandar,PK,24.1447,67.4497,81.64,80,46,20.0,scattered clouds
23,Saldanha,ZA,-33.0117,17.9442,57.25,82,100,20.78,light rain
24,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,5.41,overcast clouds
25,Hobart,AU,-42.8794,147.3294,46.26,86,75,8.05,broken clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,77,100,11.5,overcast clouds
27,Albany,US,42.6001,-73.9662,78.67,78,29,0.45,scattered clouds
28,Sinazongwe,ZM,-17.2614,27.4618,82.22,37,0,5.64,clear sky
29,Celestun,MX,20.8667,-90.4,82.72,70,88,8.05,overcast clouds
30,Chuy,UY,-33.6971,-53.4616,59.04,52,0,7.72,clear sky
31,Concordia,AR,-31.393,-58.0209,59.07,48,0,11.99,clear sky
32,Bredasdorp,ZA,-34.5322,20.0403,52.02,86,47,22.32,moderate rain
33,Cape Town,ZA,-33.9258,18.4232,56.08,87,100,23.02,moderate rain
34,Jumla,NP,29.2747,82.1838,61.09,89,74,3.78,broken clouds
35,Ilulissat,GL,69.2167,-51.1,42.82,87,20,2.3,few clouds
36,Nemuro,JP,43.3236,145.575,63.86,88,7,7.76,clear sky
37,Axim,GH,4.8699,-2.2405,79.75,75,30,9.82,scattered clouds
38,Luderitz,NA,-26.6481,15.1594,61.03,60,0,8.12,clear sky
39,Victoria,HK,22.2855,114.1577,90.32,63,78,10.0,broken clouds
40,Lorengau,PG,-2.0226,147.2712,81.79,71,6,10.85,clear sky
41,Victor Harbor,AU,-35.5667,138.6167,53.01,70,94,8.21,overcast clouds
42,Buala,SB,-8.145,159.5921,78.93,82,20,4.18,light rain
43,Lagoa,PT,39.05,-27.9833,71.2,70,8,11.59,clear sky
44,San Quintin,MX,30.4833,-115.95,77.41,80,100,2.68,overcast clouds
45,Aklavik,CA,68.2191,-135.0107,46.4,100,100,4.61,fog
46,Atar,MR,20.5169,-13.0499,102.99,20,27,5.57,scattered clouds
47,Roald,NO,62.5833,6.1333,67.15,77,20,6.91,few clouds
48,Bonavista,CA,48.6499,-53.1147,63.82,72,0,5.79,clear sky
49,Mar Del Plata,AR,-38.0023,-57.5575,64.42,34,0,16.11,clear sky
50,Nome,US,64.5011,-165.4064,42.87,87,40,3.44,scattered clouds
51,Whitianga,NZ,-36.8333,175.7,49.15,84,100,2.68,light rain
52,Ushuaia,AR,-54.8,-68.3,38.93,79,55,7.0,broken clouds
